x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.115470,0.039076,2.896413,1.250020,3131.075,800.000,1.117475,10119.822,23590064.124
0.115697,0.039107,2.897670,1.250069,3130.987,800.000,1.117265,10103.696,23551588.156
0.115924,0.039137,2.898910,1.250116,3130.901,800.000,1.117058,10087.823,23513720.089
0.116151,0.039167,2.900133,1.250160,3130.817,800.000,1.116856,10072.199,23476455.194
0.116378,0.039196,2.901339,1.250203,3130.735,800.000,1.116658,10056.825,23439788.815
0.116605,0.039225,2.902528,1.250244,3130.654,800.000,1.116463,10041.697,23403716.370
0.116832,0.039254,2.903700,1.250282,3130.574,800.000,1.116272,10026.814,23368233.351
0.117059,0.039282,2.904855,1.250319,3130.496,800.000,1.116085,10012.174,23333335.320
0.117286,0.039310,2.905993,1.250355,3130.420,800.000,1.115901,9997.775,23299017.912
0.117513,0.039337,2.907115,1.250388,3130.346,800.000,1.115721,9983.616,23265276.834
0.117740,0.039364,2.908220,1.250420,3130.273,800.000,1.115545,9969.696,23232107.863
0.117966,0.039391,2.909308,1.250450,3130.201,800.000,1.115373,9956.011,23199506.846
0.118193,0.039417,2.910379,1.250478,3130.131,800.000,1.115203,9942.562,23167469.698
0.118420,0.039443,2.911434,1.250505,3130.062,800.000,1.115038,9929.345,23135992.406
0.118647,0.039468,2.912472,1.250531,3129.995,800.000,1.114876,9916.360,23105071.023
0.118874,0.039493,2.913494,1.250555,3129.929,800.000,1.114717,9903.606,23074701.672
0.119101,0.039518,2.914499,1.250577,3129.865,800.000,1.114562,9891.079,23044880.543
0.119328,0.039543,2.915487,1.250599,3129.802,800.000,1.114410,9878.780,23015603.892
0.119555,0.039566,2.916460,1.250618,3129.741,800.000,1.114261,9866.706,22986868.043
0.119782,0.039590,2.917415,1.250637,3129.681,800.000,1.114115,9854.857,22958669.385
0.120009,0.039613,2.918354,1.250654,3129.622,800.000,1.113973,9843.230,22931004.374
0.120236,0.039636,2.919277,1.250670,3129.565,800.000,1.113834,9831.824,22903869.531
0.120463,0.039658,2.920184,1.250685,3129.508,800.000,1.113698,9820.639,22877261.442
0.120690,0.039680,2.921074,1.250699,3129.454,800.000,1.113565,9809.672,22851176.758
0.120917,0.039702,2.921948,1.250712,3129.400,800.000,1.113436,9798.922,22825612.193
0.121144,0.039723,2.922806,1.250723,3129.348,800.000,1.113309,9788.389,22800564.526
0.121371,0.039744,2.923647,1.250734,3129.297,800.000,1.113186,9778.070,22776030.599
0.121598,0.039764,2.924473,1.250744,3129.247,800.000,1.113065,9767.965,22752007.318
0.121825,0.039785,2.925282,1.250752,3129.199,800.000,1.112947,9758.072,22728491.650
0.122052,0.039804,2.926075,1.250760,3129.152,800.000,1.112832,9748.391,22705480.626
0.122279,0.039823,2.926852,1.250767,3129.106,800.000,1.112720,9738.919,22682971.340
0.122506,0.039842,2.927613,1.250774,3129.061,800.000,1.112611,9729.657,22660960.945
0.122733,0.039861,2.928358,1.250779,3129.017,800.000,1.112505,9720.602,22639446.658
0.122960,0.039879,2.929086,1.250784,3128.974,800.000,1.112401,9711.754,22618425.758
0.123187,0.039897,2.929799,1.250788,3128.933,800.000,1.112301,9703.111,22597895.581
0.123414,0.039914,2.930496,1.250791,3128.893,800.000,1.112203,9694.673,22577853.529
0.123641,0.039931,2.931177,1.250794,3128.853,800.000,1.112107,9686.439,22558297.060
0.123868,0.039947,2.931842,1.250796,3128.815,800.000,1.112014,9678.407,22539223.695
0.124095,0.039964,2.932491,1.250798,3128.778,800.000,1.111924,9670.577,22520631.013
0.124322,0.039979,2.933124,1.250799,3128.742,800.000,1.111837,9662.948,22502516.655
0.124549,0.039995,2.933741,1.250800,3128.708,800.000,1.111752,9655.518,22484878.320
0.124776,0.040010,2.934343,1.250800,3128.674,800.000,1.111669,9648.288,22467713.767
