x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x_plot
0.056918,0.023830,2.152458,1.89377117e-04,0.023641,2.139892,7.57259838e-05,6.011141e+05
0.057109,0.023915,2.158032,1.90086947e-04,0.023725,2.145498,7.56595890e-05,5.993846e+05
0.057300,0.023999,2.163549,1.90796460e-04,0.023809,2.151047,7.55938349e-05,5.976802e+05
0.057491,0.024084,2.169011,1.91505655e-04,0.023892,2.156540,7.55287124e-05,5.960006e+05
0.057682,0.024168,2.174419,1.92214535e-04,0.023975,2.161978,7.54642126e-05,5.943453e+05
0.057873,0.024251,2.179773,1.92923099e-04,0.024058,2.167361,7.54003267e-05,5.927140e+05
0.058064,0.024334,2.185075,1.93631348e-04,0.024141,2.172691,7.53370464e-05,5.911065e+05
0.058255,0.024417,2.190324,1.94339283e-04,0.024223,2.177968,7.52743632e-05,5.895223e+05
0.058446,0.024500,2.195522,1.95046904e-04,0.024305,2.183193,7.52122691e-05,5.879611e+05
0.058637,0.024582,2.200670,1.95754211e-04,0.024386,2.188367,7.51507562e-05,5.864227e+05
0.058828,0.024664,2.205768,1.96461204e-04,0.024467,2.193491,7.50898168e-05,5.849066e+05
0.059019,0.024745,2.210818,1.97167883e-04,0.024548,2.198565,7.50294432e-05,5.834127e+05
0.059210,0.024827,2.215819,1.97874248e-04,0.024629,2.203591,7.49696281e-05,5.819406e+05
0.059401,0.024908,2.220772,1.98580298e-04,0.024709,2.208568,7.49103643e-05,5.804899e+05
0.059593,0.024988,2.225678,1.99286033e-04,0.024789,2.213497,7.48516447e-05,5.790605e+05
0.059784,0.025069,2.230539,1.99991453e-04,0.024869,2.218380,7.47934623e-05,5.776521e+05
0.059975,0.025148,2.235353,2.00696556e-04,0.024948,2.223217,7.47358106e-05,5.762643e+05
0.060166,0.025228,2.240123,2.01401342e-04,0.025027,2.228007,7.46786827e-05,5.748969e+05
0.060357,0.025307,2.244848,2.02105810e-04,0.025105,2.232753,7.46220722e-05,5.735496e+05
0.060548,0.025386,2.249529,2.02809959e-04,0.025183,2.237455,7.45659729e-05,5.722221e+05
0.060739,0.025465,2.254167,2.03513789e-04,0.025261,2.242113,7.45103784e-05,5.709143e+05
0.060930,0.025543,2.258763,2.04217297e-04,0.025339,2.246728,7.44552828e-05,5.696259e+05
0.061121,0.025621,2.263316,2.04920484e-04,0.025416,2.251300,7.44006800e-05,5.683565e+05
0.061312,0.025699,2.267828,2.05623347e-04,0.025493,2.255830,7.43465642e-05,5.671061e+05
0.061503,0.025776,2.272299,2.06325885e-04,0.025570,2.260318,7.42929297e-05,5.658742e+05
0.061694,0.025853,2.276729,2.07028097e-04,0.025646,2.264766,7.42397710e-05,5.646608e+05
0.061885,0.025930,2.281119,2.07729981e-04,0.025722,2.269173,7.41870824e-05,5.634656e+05
0.062076,0.026006,2.285470,2.08431536e-04,0.025798,2.273540,7.41348587e-05,5.622883e+05
0.062267,0.026082,2.289781,2.09132761e-04,0.025873,2.277867,7.40830946e-05,5.611287e+05
0.062459,0.026158,2.294054,2.09833653e-04,0.025948,2.282156,7.40317849e-05,5.599867e+05
0.062650,0.026233,2.298289,2.10534211e-04,0.026023,2.286406,7.39809245e-05,5.588619e+05
0.062841,0.026308,2.302486,2.11234433e-04,0.026097,2.290618,7.39305084e-05,5.577543e+05
0.063032,0.026383,2.306646,2.11934318e-04,0.026171,2.294792,7.38805318e-05,5.566636e+05
0.063223,0.026457,2.310770,2.12633863e-04,0.026245,2.298929,7.38309899e-05,5.555896e+05
0.063414,0.026531,2.314856,2.13333066e-04,0.026318,2.303029,7.37818780e-05,5.545321e+05
0.063605,0.026605,2.318907,2.14031926e-04,0.026391,2.307093,7.37331914e-05,5.534909e+05
0.063796,0.026678,2.322923,2.14730441e-04,0.026464,2.311122,7.36849257e-05,5.524659e+05
0.063987,0.026751,2.326903,2.15428608e-04,0.026536,2.315114,7.36370764e-05,5.514568e+05
0.064178,0.026824,2.330848,2.16126425e-04,0.026608,2.319072,7.35896391e-05,5.504635e+05
0.064369,0.026896,2.334760,2.16823891e-04,0.026680,2.322995,7.35426096e-05,5.494858e+05
0.064560,0.026968,2.338637,2.17521003e-04,0.026751,2.326883,7.34959837e-05,5.485235e+05
0.064751,0.027040,2.342480,2.18217759e-04,0.026822,2.330737,7.34497572e-05,5.475764e+05
0.064942,0.027112,2.346291,2.18914156e-04,0.026893,2.334558,7.34039261e-05,5.466444e+05
0.065133,0.027183,2.350068,2.19610193e-04,0.026963,2.338346,7.33584864e-05,5.457274e+05
0.065324,0.027253,2.353813,2.20305867e-04,0.027033,2.342101,7.33134342e-05,5.448251e+05
0.065516,0.027324,2.357526,2.21001176e-04,0.027103,2.345823,7.32687656e-05,5.439374e+05
0.065707,0.027394,2.361206,2.21696116e-04,0.027172,2.349513,7.32244769e-05,5.430641e+05
0.065898,0.027464,2.364856,2.22390687e-04,0.027241,2.353172,7.31805643e-05,5.422051e+05
0.066089,0.027533,2.368474,2.23084885e-04,0.027310,2.356798,7.31370243e-05,5.413603e+05
0.066280,0.027602,2.372061,2.23778708e-04,0.027378,2.360394,7.30938532e-05,5.405295e+05
0.066471,0.027671,2.375617,2.24472154e-04,0.027446,2.363959,7.30510474e-05,5.397125e+05
0.066662,0.027739,2.379143,2.25165219e-04,0.027514,2.367493,7.30086036e-05,5.389092e+05
0.066853,0.027808,2.382640,2.25857902e-04,0.027582,2.370997,7.29665183e-05,5.381196e+05
0.067044,0.027875,2.386106,2.26550200e-04,0.027649,2.374470,7.29247882e-05,5.373433e+05
0.067235,0.027943,2.389543,2.27242110e-04,0.027716,2.377915,7.28834100e-05,5.365804e+05
0.067426,0.028010,2.392951,2.27933630e-04,0.027782,2.381329,7.28423804e-05,5.358306e+05
0.067617,0.028077,2.396331,2.28624756e-04,0.027848,2.384715,7.28016963e-05,5.350939e+05
0.067808,0.028143,2.399681,2.29315487e-04,0.027914,2.388072,7.27613545e-05,5.343701e+05
0.067999,0.028209,2.403003,2.30005820e-04,0.027979,2.391400,7.27213519e-05,5.336590e+05
0.068190,0.028275,2.406298,2.30695751e-04,0.028044,2.394700,7.26816856e-05,5.329607e+05
0.068382,0.028341,2.409564,2.31385279e-04,0.028109,2.397972,7.26423525e-05,5.322749e+05
0.068573,0.028406,2.412803,2.32074400e-04,0.028174,2.401216,7.26033496e-05,5.316016e+05
0.068764,0.028471,2.416015,2.32763112e-04,0.028238,2.404433,7.25646742e-05,5.309405e+05
0.068955,0.028535,2.419199,2.33451412e-04,0.028302,2.407622,7.25263233e-05,5.302917e+05
0.069146,0.028599,2.422357,2.34139296e-04,0.028365,2.410785,7.24882942e-05,5.296550e+05
0.069337,0.028663,2.425489,2.34826764e-04,0.028428,2.413920,7.24505841e-05,5.290303e+05
0.069528,0.028727,2.428594,2.35513810e-04,0.028491,2.417030,7.24131903e-05,5.284174e+05
0.069719,0.028790,2.431673,2.36200434e-04,0.028554,2.420112,7.23761101e-05,5.278164e+05
0.069910,0.028853,2.434726,2.36886631e-04,0.028616,2.423169,7.23393409e-05,5.272270e+05
0.070101,0.028915,2.437753,2.37572399e-04,0.028678,2.426200,7.23028802e-05,5.266492e+05
0.070292,0.028977,2.440755,2.38257735e-04,0.028739,2.429205,7.22667253e-05,5.260828e+05
0.070483,0.029039,2.443732,2.38942636e-04,0.028800,2.432185,7.22308738e-05,5.255279e+05
0.070674,0.029101,2.446684,2.39627099e-04,0.028861,2.435139,7.21953231e-05,5.249842e+05
0.070865,0.029162,2.449611,2.40311122e-04,0.028922,2.438069,7.21600710e-05,5.244517e+05
0.071056,0.029223,2.452513,2.40994701e-04,0.028982,2.440974,7.21251149e-05,5.239303e+05
0.071247,0.029284,2.455391,2.41677834e-04,0.029042,2.443854,7.20904526e-05,5.234200e+05
0.071439,0.029344,2.458245,2.42360517e-04,0.029101,2.446710,7.20560816e-05,5.229205e+05
0.071630,0.029404,2.461075,2.43042747e-04,0.029161,2.449542,7.20219997e-05,5.224319e+05
0.071821,0.029463,2.463881,2.43724522e-04,0.029220,2.452349,7.19882048e-05,5.219540e+05
0.072012,0.029523,2.466664,2.44405839e-04,0.029278,2.455133,7.19546944e-05,5.214868e+05
0.072203,0.029581,2.469423,2.45086694e-04,0.029336,2.457893,7.19214665e-05,5.210301e+05
0.072394,0.029640,2.472159,2.45767084e-04,0.029394,2.460630,7.18885189e-05,5.205840e+05
0.072585,0.029698,2.474871,2.46447007e-04,0.029452,2.463344,7.18558495e-05,5.201483e+05
0.072776,0.029756,2.477561,2.47126460e-04,0.029509,2.466034,7.18234561e-05,5.197229e+05
0.072967,0.029814,2.480228,2.47805439e-04,0.029566,2.468702,7.17913368e-05,5.193078e+05
0.073158,0.029871,2.482873,2.48483941e-04,0.029623,2.471347,7.17594895e-05,5.189029e+05
0.073349,0.029928,2.485495,2.49161963e-04,0.029679,2.473970,7.17279121e-05,5.185081e+05
0.073540,0.029985,2.488096,2.49839503e-04,0.029735,2.476570,7.16966028e-05,5.181234e+05
0.073731,0.030041,2.490674,2.50516557e-04,0.029790,2.479147,7.16655596e-05,5.177486e+05
0.073922,0.030097,2.493230,2.51193122e-04,0.029846,2.481703,7.16347806e-05,5.173838e+05
